name,longitude,latitude,key,lifeStage,stateProvince,year
"Necturus maculosus (Rafinesque, 1818)",-79.145228,40.833098,891089149,Adult,Pennsylvania,2012
"Necturus maculosus (Rafinesque, 1818)",-76.989398,43.935793,1253303791,Adult,Ontario,2012
"Necturus maculosus (Rafinesque, 1818)",-96.473522,50.083031,1836601409,Adult,Manitoba,2012
"Necturus maculosus (Rafinesque, 1818)",-91.839996,38.27,3351570063,NA,NA,2012
"Necturus maculosus (Rafinesque, 1818)",-82.896202,35.9431,1229582990,NA,North Carolina,2012
"Necturus maculosus (Rafinesque, 1818)",-75.678778,44.964892999999996,2873883446,NA,Ontario,2011
"Necturus maculosus (Rafinesque, 1818)",-75.678282,44.964733,1883505344,Adult,Ontario,2011
"Necturus maculosus (Rafinesque, 1818)",-84.264151,37.898795,1935628430,Adult,Kentucky,2011
"Necturus maculosus (Rafinesque, 1818)",-84.570622,35.238958,2901564371,Adult,Tennessee,2011
"Necturus maculosus (Rafinesque, 1818)",-69.841883,44.490198,1039456018,Juvenile,Maine,2011
"Necturus maculosus (Rafinesque, 1818)",-84.508681,35.200231,1807290554,NA,Tennessee,2011
"Necturus maculosus (Rafinesque, 1818)",-95.790001,45.02,3351536046,NA,NA,2011
"Necturus maculosus (Rafinesque, 1818)",-76.593243,42.817506,2397711379,Adult,New York,2010
"Necturus maculosus (Rafinesque, 1818)",-87.432797,34.956525,2269095865,NA,Alabama,2010
"Necturus maculosus (Rafinesque, 1818)",-75.678265,44.964824,2005294131,Adult,Ontario,2010
"Necturus maculosus (Rafinesque, 1818)",-89.711417,46.156016,1453327747,Juvenile,Wisconsin,2009
"Necturus maculosus (Rafinesque, 1818)",-82.884697,35.932201,3111561268,NA,North Carolina,2008
"Necturus maculosus (Rafinesque, 1818)",-87.694778,34.949088,2269095665,NA,Alabama,2008
"Necturus maculosus (Rafinesque, 1818)",-86.348546,38.318969,2273230609,NA,Indiana,2008
"Necturus maculosus (Rafinesque, 1818)",-95.44722,37.81011,78635255,NA,Kansas,2007
"Necturus maculosus (Rafinesque, 1818)",-78.532382,42.177669,1455596564,Adult,New York,2007
"Necturus maculosus (Rafinesque, 1818)",-81.805303,43.142564,2597894958,NA,Ontario,2007
"Necturus maculosus (Rafinesque, 1818)",-75.678232,44.964756,2005294136,Adult,Ontario,2007
"Necturus maculosus (Rafinesque, 1818)",-81.393303,36.421902,895447600,NA,North Carolina,2006
"Necturus maculosus (Rafinesque, 1818)",-76.807758,43.399835,2579238012,Adult,New York,2006
"Necturus maculosus (Rafinesque, 1818)",-89.355195,48.350677,2236231609,Adult,Ontario,2005
"Necturus maculosus (Rafinesque, 1818)",-72.553,42.611,1897017083,NA,Ma,2005
"Necturus maculosus (Rafinesque, 1818)",-81.245277,42.984923,2596403345,NA,Ontario,2004
"Necturus maculosus (Rafinesque, 1818)",-86.410004,41.200001,3350950681,NA,NA,2003
"Necturus maculosus (Rafinesque, 1818)",-96.301,37.817,48128895,NA,Kansas,2003
"Necturus maculosus (Rafinesque, 1818)",-95.5533,38.0089,48128900,NA,Kansas,2003
"Necturus maculosus (Rafinesque, 1818)",-95.4264,37.9217,48128903,NA,Kansas,2003
